A,mac,meanmac,meanwhak,whak,lat,Area Range,Latitude Range,whakfrac,macfrac
0.0302,1.01,0.0655,0.113,1.74,20.2,1,1,0.279,0.19
0.00606,0.0167,0.00541,1.95e-05,6.02e-05,58.5,0,3,9.64e-06,0.00316
0.0124,0.167,0.0264,0.00664,0.0419,24.4,0,1,0.00672,0.0316
0.00454,0.134,0.0581,0.0718,0.166,15.6,0,1,0.0266,0.0254
0.0374,1.24,0.0651,0.0808,1.54,1.72,1,0,0.247,0.235
0.0209,0.0714,0.00671,4.9e-05,0.000521,52.9,1,3,8.35e-05,0.0135
0.00167,0.00148,0.00174,7.55e-07,6.42e-07,87.2,0,4,2.87e-07,0.000352
0.00271,0.00514,0.00371,3.12e-06,4.32e-06,72.2,0,4,1.93e-06,0.00122
0.185,3.76,0.0399,0.0223,2.11,38,4,2,0.943,0.891
0.00271,0.0314,0.0227,0.000671,0.000927,42.9,0,2,0.000415,0.00745
0.000298,0.000401,0.00264,0.000454,6.91e-05,27.8,0,1,3.09e-05,9.52e-05
0.000308,0.00063,0.00401,0.00104,0.000164,24.1,0,1,7.33e-05,0.000149
0.00354,0.125,0.0692,0.00247,0.00445,48.7,0,3,0.00199,0.0296
0.0228,0.184,0.0158,0.000571,0.00664,54,1,3,0.00297,0.0436
0.00455,0.0278,0.012,0.00684,0.0159,15.1,0,1,0.0071,0.0066
0.00812,0.0149,0.00359,4.31e-06,1.78e-05,65.7,0,4,7.98e-06,0.00353
0.000962,0.00301,0.00614,0.00191,0.000937,17.9,0,1,0.000419,0.000715
0.000336,0.028,0.164,0.469,0.0802,5.57,0,0,0.0359,0.00665
0.00321,0.0377,0.0231,0.0109,0.0177,17.8,0,1,0.00794,0.00894
0.000333,0.000106,0.000622,0.000245,4.16e-05,9.28,0,0,1.86e-05,2.5e-05
0.00167,0.00268,0.00315,2.23e-06,1.9e-06,87.2,0,4,6.64e-07,0.000676
0.106,2.01,0.037,0.0194,1.05,5.42,3,0,0.368,0.507
0.0491,0.532,0.0212,0.000734,0.0184,60,2,3,0.00642,0.134
0.00888,0.324,0.0714,0.129,0.585,10.2,0,0,0.204,0.0817
0.0233,0.337,0.0283,0.00151,0.0179,46.9,1,3,0.00625,0.085
0.00233,0.0828,0.0698,0.105,0.125,9.26,0,0,0.0436,0.0209
0.00494,0.0387,0.0154,0.00954,0.024,12.5,0,0,0.00839,0.00977
0.0034,0.051,0.0295,0.0027,0.00468,32.6,0,2,0.00163,0.0129
0.00709,0.071,0.0196,0.000595,0.00215,46.7,0,3,0.000752,0.0179
0.00833,0.461,0.109,0.242,1.03,6.55,0,0,0.36,0.116
0.000262,0.014,0.104,0.00991,0.00133,39,0,2,0.000463,0.00353
0.000248,0.0125,0.0987,0.00743,0.000939,42.7,0,2,0.000328,0.00315
0.000606,0.00295,0.00955,0.00217,0.00067,25.9,0,1,0.000234,0.000745
0.00366,0.0239,0.0128,0.000261,0.000486,52.1,0,3,0.00017,0.00602
0.00167,0.00136,0.00159,6.77e-07,5.76e-07,87.2,0,4,1.07e-07,0.000289
0.012,0.111,0.0182,0.000578,0.00353,41.5,0,2,0.000655,0.0237
0.14,3.31,0.0463,0.0526,3.76,37.9,3,2,0.697,0.707
0.000323,0.00153,0.0093,0.00338,0.000557,16.7,0,1,0.000103,0.000327
0.000316,0.00126,0.00781,0.00202,0.000326,20.4,0,1,6.04e-05,0.000269
0.0026,0.0779,0.0588,0.00515,0.00681,31.1,0,2,0.00126,0.0166
0.00977,0.195,0.0392,0.0464,0.231,19.8,0,1,0.0429,0.0416
0.000969,0.0196,0.0396,0.0181,0.00894,16.7,0,1,0.00166,0.00418
0.00124,0.00676,0.0107,0.000105,6.65e-05,42.6,0,2,1.23e-05,0.00144
0.000657,0.0209,0.0623,0.0334,0.0112,13,0,0,0.00207,0.00446
0.000669,0.0112,0.033,0.0198,0.00675,7.41,0,0,0.00125,0.0024
0.0168,0.15,0.0175,0.000652,0.0056,56.1,1,3,0.00104,0.032
0.00329,0.0171,0.0102,0.00562,0.00944,12.2,0,0,0.00175,0.00364
0.00489,0.0185,0.0074,2.54e-05,6.33e-05,68.6,0,4,1.17e-05,0.00394
0.00379,0.179,0.0927,0.00668,0.0129,41.3,0,2,0.00239,0.0382
0.00671,0.493,0.144,0.39,1.34,2.22,0,0,0.247,0.105
0.021,0.0354,0.00331,4.41e-06,4.72e-05,63.2,1,3,8.74e-06,0.00756
0.000632,0.000752,0.00233,0.000747,0.000241,20.4,0,1,4.46e-05,0.00016
0.00146,0.033,0.0444,0.00418,0.00311,30,0,2,0.000577,0.00705
0.0965,1.38,0.028,0.0387,1.9,42,2,2,0.32,0.312
0.0321,0.621,0.0379,0.0211,0.347,12.4,1,0,0.0584,0.141
0.00167,0.0037,0.00435,5.24e-06,4.46e-06,87.2,0,4,7.51e-07,0.000838
0.00969,0.0499,0.0101,0.00525,0.0259,25,0,1,0.00437,0.0113
0.0103,0.179,0.0341,0.000638,0.00334,58.9,0,3,0.000563,0.0406
0.0722,2.14,0.0581,0.0992,3.66,1.75,2,0,0.615,0.485
0.00419,0.0204,0.00956,0.00169,0.00361,27.2,0,1,0.000608,0.00463
0.00051,0.0182,0.07,0.00383,0.000996,40.8,0,2,0.000168,0.00413
0.00167,0.00247,0.0029,1.86e-06,1.58e-06,87.2,0,4,3.3e-07,0.000455
0.0115,0.189,0.0322,0.0018,0.0105,39,0,2,0.0022,0.0348
0.0219,0.602,0.0539,0.0859,0.959,19.5,1,1,0.2,0.111
0.00167,0.00294,0.00346,3.27e-06,2.78e-06,87.2,0,4,5.8e-07,0.000542
0.0989,2.98,0.0591,0.0593,2.99,25.9,2,1,0.624,0.55
0.000287,0.00358,0.0244,0.00131,0.000193,31.5,0,2,4.02e-05,0.00066
0.0008,0.0263,0.0644,0.00256,0.00104,37.7,0,2,0.000218,0.00485
0.0192,0.357,0.0365,0.00185,0.0181,44,1,2,0.00378,0.0659
